Desplazamiento;Error des;Voltaje ;Error voltaje;;masa 1;equlibrio 1;Error 1;;masa 2;equlibrio 2;Error 2;;Numero de masas;periodo (s);error periodos;;Corriente 1;desplazamiento 1 ;error corriente 1;error des 1;;Corriente 2;desplazamiento 2 ;error corriente 2;error des 2;;Valle No;tiempo No;;picos;tiempo (s);;Valle si;tiempo si;;picos si;tiempo si;;valles si;amplitudes si;;pico si;amplitudes si;;Frecuencia (mHz) 1;error F1;Amplitud mV 1;error A1;;Frecuencia (mHz) 2;error F2;Amplitud mV 2;error A2;;tiempo (s) 1;error t1;amplitudes (V) 11;error a1;;tiempo (s) 2;error t2;amplitudes (V) 22;error a2;;tiempo (s) 3;error t3;amplitudes (V) 3;error a3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;878;0,01;808;0,1;;920;0,01;136;0,1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;880;0,01;776;0,1;;930;0,01;134;0,1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;885;0,01;680;0,1;;940;0,01;130;0,1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;890;0,01;548;0,1;;950;0,01;126;0,1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;900;0,01;488;0,1;;1000;0,01;102;0,1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;920;0,01;328;0,1;;1050;0,01;78;0,1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;950;0,01;240;0,1;;1100;0,01;70;0,1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;0,01;144;0,1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1100;0,01;88;0,1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1200;0,01;64;0,1;;;;;;;;;;;;;;;;;;;;
